listing_name,categories,seniority,required_skills
qa engineer with python,python,mid,"['python', 'linux', 'tcp/ip', 'rest', 'webui testing']"
senior devops engineer,devops,senior,"['kubernetes', 'docker', 'python', 'golang']"
application administrator - service desk,admin,mid,"['jira', 'confluence', 'slack', 'atlassian', 'sil', 'python']"
application specialist,devops,mid,"['rhel', 'linux', 'itil', 'python', 'c', 'c++']"
senior python developer - remote,python,senior,"['python', 'scrapy']"
senior data engineer,data,senior,"['python', 'sql', 'apache airflow', 'kubernetes', 'ms sql server', 'aws', 'git', 'snowflake', 'docker']"
engineering manager,pm,mid,"['team growth', 'leadership', 'agile', 'python', 'react']"
modszy administrator baz danych oracle,admin,junior,"['oracle', 'centos', 'linux', 'ha/dr', 'bash', 'python', 'powershell']"
"staff swe, backend (merchant servicing)",python,senior,"['python', 'kotlin', 'react']"
senior site reliability engineer,devops,senior,"['observability tools', 'java or go or python', 'kubernetes', 'aws or azure']"
python developer,python,mid,"['python', 'docker', 'kubernetes', 'devops tools']"
solution architect,python,mid,"['python', 'sql', 'spark', 'big data']"
senior full-stack engineer with python,python,senior,"['machine learning', 'react', 'vue.js', 'python', 'english']"
senior machine learning engineer,python,senior,"['python', 'pytorch', 'tensorflow', 'machine learning', 'algorithms', 'deep learning', 'cloud computing', 'computer vision']"
backend python developer,python,mid,['python']
frontend python developer,python,mid,['python']
software test engineer,python,mid,"['python', 'javascript', 'selenium', 'cucumber', 'testcaf', 'mocha', 'chai', 'ci/cd', 'html', 'css']"
senior automation qa engineer,testing,senior,"['java', 'python', 'appium']"
senior python developer,python,senior,"['python', 'sql', 'aws', 'cloud', 'kubernetes', 'docker', 'sagemaker']"
senior data engineer,data,senior,"['sql', 'dbt', 'python', 'terraform', 'looker', 'gcp']"
mid qa engineer,testing,mid,"['python', 'pytest', 'unix']"
senior python (django) engineer,python,senior,"['python', 'django', 'postgresql', 'grafana', 'azure']"
senior python test egineer,testing,senior,"['python', 'selenium', 'robot framework', 'openstack', 'docker', 'kubernetes']"
linux developer,admin,mid,"['gnu', 'linux', 'python', 'git', 'devops', 'arm', 'c']"
senior full-stack developer,python,senior,"['python', 'javascript', 'react', 'sql', 'english']"
sr data engineer,data,senior,"['sql', 'python', 'aws']"
remote senior python developer,python,senior,"['python', 'django', 'linux', 'cloud computing', 'ci/cd', 'docker']"
senior data engineer,data,senior,"['python', 'mongodb', 'aws', 'backend', 'elasticsearch', 'redshift', 'rabbitmq', 'docker']"
azure devops engineer,devops,senior,"['azure', 'azure devops', 'terraform', 'ansible', 'docker', 'kubernetes', 'python/powershell/bash', 'sonarqube']"
junior devops engineer (wrocaw/okolice),devops,junior,"['bash', 'linux', 'python', 'continuous integration', 'continuous delivery']"
python engineer (mid or senior),python,senior,"['python', 'english', 'sql', 'aws', 'rest api']"
python developer,python,mid,"['python', 'git', 'english']"
