listing_name,categories,seniority,required_skills
 Senior Big Data Developer ,data, Senior ,"[' HDFS ', ' YARN ', ' Databricks ', ' Amazon Web Services ', ' Oozie ', ' Spark ', ' Hadoop ', ' Azure ', ' AWS ', ' Google Cloud Platform ', ' Cloudera (or any other) HADOOP distribution ', ' Java or Scala or Python ', ' Java ', ' Python ', ' Kafka ', ' Problem solving ', ' Communication skills ', ' Team player ', ' Critical thinking ', ' Scala ', ' Yarn ', ' Airflow ', ' Cloudera ', ' Spark Streaming ', ' Snowflake ', ' ELK Stack ', ' Docker/Kubernetes ', ' Cassandra/MongoDB ', ' Kafka Streaming/Kafka Connect ', ' JIRA ', ' CI/CD ', ' JENKINS ', ' Docker ', ' Kubernetes ', ' Cassandra ', ' MongoDB ', ' Jenkins ', ' GitLab ', ' Jira ', ' Confluence ']"
 Tester Systemowy (sta/praca) ,python," Trainee, Junior ","[' Python ', ' Multimetr ', ' Oscyloskop ', ' PLC ', ' CAN ', ' PROFINET ', ' PROFIBUS ', ' ETHERCAT ', ' ETHERNET/IP ']"
 QA Automation Engineer - Remote ,testing, Mid ,"[' Jira ', ' Confluence ', ' TestRail ', ' Python ', ' pytest ', ' Proxy ', ' ISTQB ', ' Appium ']"
 Mid Senior System Security Administrator ,security, Mid ,[' Python ']
 Senior Software Developer ,python, Mid ,"[' iOS ', ' Python ', ' JavaScript ', ' CSS ', ' HTML ', ' JQuery ', ' Dagger ', ' Perl ']"
 Azure Data Engineer  ,analytics," Mid, Senior ","[' SQL ', ' ETL ', ' Azure ', ' Azure Data Factory ', ' Python ', ' Spark ', ' Data engineering ', ' DWH ', ' Azure DataLake ', ' Azure Databricks ', ' Agile ', ' Communication Skills ', ' Team player  ', ' Proactivity ', ' Problem solving ', ' Hadoop ', ' Azure Synapse ', ' PySpark ']"
 Python Developer ,python, Mid ,"[' Python ', ' Django ', ' Flask ']"
 Mid Software Developer in Test  ,testing, Mid ,"[' Python ', ' Gherkin ', ' OOP ', ' Design Patterns ', ' Selenium ', ' Unit testing ', ' TDD ']"
 Senior DevOps Engineer  ,devops, Senior ,"[' Python ', ' Terraform ', ' AWS ', ' Kubernetes ', ' Serverless ', ' Cloud ', ' Microservices architecture ', ' Infrastructure as Code ']"
 Python Team Lead (Tagging Tools Lead) ,python, Expert ,"[' Python ', ' Django ', ' SQL ', ' NoSQL ', ' Design Patterns ', ' Machine Learning ', ' ML Ops concepts ']"
 DevOps Engineer ,devops," Mid, Senior ","[' Shell ', ' Python ', ' Azure ', ' Cloud ', ' Azure Cloud ', ' Azure DevOps ', ' CI/CD ', ' Docker ', ' Kubernetes ', ' Terraform ', ' Helm ', ' IaaS ', ' PaaS ', ' DevOps ', ' Git ', ' Jira ']"
 Python Software Engineer in Test ,testing," Mid, Senior ","[' Python ', ' pytest ', ' Jenkins ', ' Communication skills ']"
 Senior Mobile QA Automation Engineer ,testing, Senior ,"[' Java ', ' Python ', ' JavaScript ', ' Swift ', ' Kotlin ', ' Appium ', ' Bitrise ', ' Jenkins ', ' UI ']"
 Remote Mid Data Engineer ,data, Mid ,"[' Python ', ' SQL ', ' NoSQL ', ' Scala ', ' Machine Learning ', ' Azure ']"
 Senior Software Development Engineer  ,python, Senior ,"[' Python ', ' Golang ']"
 Remote Python Backend Developer ,python, Mid ,"[' Python ', ' SQL ', ' Linux ', ' Docker ', ' Celery ', ' RabbitMQ ', ' Kanban ', ' PostgreSQL ', ' Redis ', ' Flask ', ' Django ', ' OOP ', ' Git ']"
 Remote Azure DevOps Engineer ,devops," Mid, Senior ","[' Azure ', ' Azure DevOps ', ' Ansible ', ' Python/bash/Powershell ', ' GitHub ', ' Python ', ' PowerShell ', ' Bash ', ' ARM ', ' DevOps ', ' Jenkins ', ' GitHub Actions ', ' Git ', ' Kubernetes ', ' Docker ', ' Terraform ', ' C# ', ' npm ']"
 ELT Dveloper / Data Engineer ,data, Senior ,"[' Python ', ' NoSQL ', ' Azure ', ' FTP ', ' ETL ', ' SQL ', ' Spark ', ' Kafka ', ' PowerBI ', ' Azure Data Factory ', ' ELT ', ' DataBriks ']"
 Cloud Engineer ,devops, Senior ,"[' Docker ', ' Amazon AWS services ', ' Git ', ' Terraform ', ' Python ', ' Azure ', ' Ansible ', ' GitHub ', ' DevOps ', ' AWS ', ' GCP ', ' Shell ', ' Bash ', ' IaC ', ' CloudFormation ', ' GitLab ', ' Kubernetes ', ' Rancher ', ' Amazon EKS ', ' CI/CD ', ' BitBucket ', ' Scrum ', ' Contact with a client ', ' Communication skills ', ' Team Player ']"
 Remote QA Automation Engineer (Python) ,testing," Mid, Senior ","[' SQL ', ' Selenium ', ' Automation ', ' Cucumber ', ' Python ', ' AWS ', ' Jenkins ', ' Terraform ', ' Java ', ' C# ']"
 Machine Learning Operations Engineer ,data, Mid ,"[' Python ', ' AWS ', ' Azure ', ' GCP ', ' Compute-at-scale technologies ']"
 Lead Cloud Devops Engineer ,devops," Mid, Senior ","[' Git ', ' Azure ', ' Azure DevOps ', ' CI/CD ', ' PowerShell ', ' Python ', ' SQL Server ', ' Web API ', ' Bash ', ' CSS ', ' HTML ', ' C# ']"
 Senior Python Engineer at Orca Security ,python, Senior ,"[' AWS ', ' Azure ', ' GCP ', ' Python ', ' Microservices architecture ', ' Elasticsearch ', ' Spark ', ' Map Reduce ']"
 Data Analyst ,analytics," Mid, Senior ","[' Python ', ' SQL ', ' NumPy ', ' pandas ', ' PowerBI ', ' R ', ' SAS ']"
 AWS/Azure Cloud Architect ,devops," Mid, Senior ","[' Linux ', ' Python ', ' Terraform ', ' AWS ', ' Azure ', ' Docker ', ' Puppet ', ' Kubernetes ', ' Virtualization ', ' Project management ', ' Microservices ', ' .NET ']"
 Senior QA Automation Engineer ,testing, Senior ,"[' Python ', ' Microservices ', ' QA ', ' pytest ', ' Kubernetes ']"
 Remote Automation Test Engineer ,testing, Mid ,"[' Python ', ' CI/CD ', ' REST ', ' pytest ', ' Selenium ', ' Jenkins ', ' Docker ', ' Azure ', ' Ansible ', ' Terraform ', ' Kubernetes ', ' Grafana ', ' Prometheus ', ' ISTQB ']"
 AI Researcher ,data, Mid ,"[' Python ', ' Machine Learning ', ' Git ', ' Deep learning ', ' Computer vision ', ' PyTorch ', ' PyTorch Lightning ', ' Docker ', ' Kubernetes ']"
