listing_name,categories,seniority,required_skills
 Remote Automation Test Engineer ,"[' Testing ', ' Python ']", Mid ,"[' Python ', ' CI/CD ', ' REST ', ' pytest ', ' Selenium ', ' Jenkins ', ' Docker ', ' Azure ', ' Ansible ', ' Terraform ', ' Kubernetes ', ' Grafana ', ' Prometheus ', ' ISTQB ']"
 AI Researcher ,"[' AI ', ' Python ']", Mid ,"[' Python ', ' Machine Learning ', ' Git ', ' Deep learning ', ' Computer vision ', ' PyTorch ', ' PyTorch Lightning ', ' Docker ', ' Kubernetes ']"
 Software Engineer (DevOps with AWS) ,"[' DevOps ', ' Python ']", Mid ,"[' Python ', ' Jenkins ', ' Artifactory ', ' Linux ', ' Virtualization ', ' Docker ', ' Git ', ' CI/CD Pipelines ', ' Node.js ', ' TypeScript ', ' AWS ', ' Gradle ', ' SDLC ', ' Ansible ', ' Terraform ', ' Groovy ', ' IAM ', ' AWS EC2 ', ' AWS Lambda ', ' AWS CloudFormation ', ' AWS S3 ', ' AWS DynamoDB ', ' API Gateway ', ' Route53 ', ' SQS ', ' Amazon SQS ', ' SNS ', ' VPC ', ' Amazon CloudWatch ']"
 Python Developer with AWS ,"[' Backend ', ' Python ']"," Mid, Senior ","[' Python ', ' AWS ', ' AWS EC2 ', ' API Gateway ', ' AWS Lambda ', ' AWS S3 ', ' CI/CD ', ' NoSQL ', ' DevOps ', ' React ', ' Vue.js ']"
 C++ Embedded Software Engineer  ,"[' Embedded ', ' C++ ']"," Mid, Senior ","[' C++ ', ' C ', ' Linux ', ' Java ', ' Python ', ' JavaScript ', ' UML ', ' Git ', ' Docker ', ' Yocto ', ' Jenkins ', ' TDD ', ' Google Test ', ' Protocols ', ' TCP ', ' Wi-Fi ']"
 DevOps Engineer ,[' DevOps ']," Mid, Senior ","[' AWS ', ' Google cloud platform ', ' C++ ', ' Python ', ' Bash ', ' JavaScript ', ' VR ', ' Blockchain ']"
 System Engineer for Jira&Ansible Tower ,[' IT Administrator '], Mid ,"[' Python ', ' JavaScript ', ' Linux ', ' Tomcat ', ' ITIL ', ' C# ', ' Azure ', ' REST API ', ' LDAP ', ' Cloud ']"
 Full Stack Developer (Python + Vue) ,"[' Fullstack ', ' Python ']", Mid ,"[' Python ', ' Vue.js ', ' Vuex ', ' pytest ', ' AWS ', ' Cloud ', ' TypeScript ', ' Vuetify ', ' NumPy ', ' pandas ']"
 Senior Python developer ,"[' Backend ', ' Python ']", Expert ,"[' Python ', ' SQL ', ' REST API ', ' Docker ', ' Git ', ' Linux ', ' ORM ', ' CI/CD ', ' Machine learning ', ' PostgreSQL ', ' SQLAlchemy ', ' Celery ', ' Flask ', ' GCP ', ' AWS ']"
 Remote mid/senior Python Dev | ma³y team ,"[' Backend ', ' Python ']", Senior ,"[' Python ', ' Django ', ' Linux ', ' Git ', ' JavaScript ', ' CSS ', ' HTML ', ' DevOps ', ' AWS ', ' Elasticsearch ', ' PostgreSQL ', ' Redis ']"
 Machine Learning Researcher ,"[' AI ', ' Python ']"," Senior, Expert ","[' Python ', ' Machine learning ', ' TensorFlow ', ' Scala ', ' Java ', ' PyTorch ', ' NumPy ', ' pandas ', ' Deep learning ']"
 Python Backend Developer ,"[' Backend ', ' Python ']"," Mid, Senior ","[' Python ', ' Linux ', ' REST ', ' AWS ', ' Selenium ', ' Docker ', ' CI/CD Pipelines ', ' Grafana ', ' Elasticsearch ', ' Kibana ', ' InfluxDB ']"
 Middle/Senior AQA Embedded Engineer  ,"[' Testing ', ' Python ']"," Mid, Senior ","[' Python ', ' Robot Framework ', ' pytest ', ' QA ', ' Go ', ' SSL ', ' Protocols ', ' Bash ', ' Golang ']"
 Senior Data Modeler ,"[' Big Data ', ' SQL ']", Senior ,"[' SQL ', ' ETL ', ' Python ', ' Azure Cloud ', ' Snowflake ', ' Data modeling ']"
 Principal Engineer ,"[' Backend ', ' Python ']"," Senior, Expert ","[' Python ', ' AWS ', ' Django ', ' Django REST Framework ', ' Project management ', ' Process management ', ' Attention to detail ', ' Coaching Skills ', ' Quality control ']"
 Remote Junior Machine Learning Engineer ,[' Business Intelligence '], Junior ,"[' Python ', ' SQL ', ' Problem solving ', ' Analytical skills ', ' AI ', ' Good coding skills ', ' Machine Learning ', ' IoT ', ' JavaScript ', ' JavaScript programming ']"
 QA Engineer ,"[' Testing ', ' Python ']"," Mid, Senior ","[' Python ', ' C# ', ' Java ', ' C++ ', ' JavaScript ', ' Selenium ', ' Cucumber ', ' Kafka ', ' AWS ', ' Azure ']"
 Software and Test Engineer ,"[' Testing ', ' Python ']"," Mid, Senior ","[' Python ', ' Linux ', ' Vector ', ' NI ', ' Labview ']"
 Test Automation Engineer ,[' Testing ']," Mid, Senior ","[' Selenium ', ' Java ', ' JavaScript ', ' Python ', ' C# ']"
 Google Cloud/GCP Developer ,"[' DevOps ', ' GCP ']"," Mid, Senior ","[' GCP ', ' Docker ', ' DevOps ', ' C# ', ' Python ', ' Big Data ', ' SQL ', ' HBase ', ' Elasticsearch ', ' Software-as-a-Service ']"
 Senior Data Scientist ,[' Inne ']," Senior, Expert ","[' Python ', ' Git ', ' pandas ', ' scikit-learn ', ' PostgreSQL ', ' REST ', ' GitHub ', ' Linux ', ' AWS Cloud ', ' Jupyter Notebook ', ' AWS SageMaker ', ' MLOps ']"
